City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,iskateley,67.6803,53.1512,-9.43,90,100,5.36,RU,1715060922
332,ati,13.2154,18.3353,31.59,10,5,3.08,TD,1715060922
333,kerikeri,-35.2268,173.9474,16.62,81,27,0.89,NZ,1715060923
334,hamilton,39.1834,-84.5333,17.95,95,100,2.06,US,1715060906
335,tazacorte,28.629,-17.9293,21.75,36,100,4.47,ES,1715060924
336,halden,59.1226,11.3871,9.08,58,84,1.9,NO,1715060925
337,ust'-ilimsk,58.0006,102.6619,10.88,38,100,6.15,RU,1715060926
338,mount gambier,-37.8333,140.7667,16.26,62,1,4.3,AU,1715060926
339,prince rupert,54.3161,-130.3201,6.16,85,100,4.63,CA,1715060927
340,keflavik,64.0049,-22.5624,3.24,87,75,5.14,IS,1715060928
341,ujae,8.9322,165.7642,27.84,85,84,8.98,MH,1715060928
342,sibu,2.3,111.8167,32.17,66,40,3.6,MY,1715060929
343,bonthe,7.5264,-12.505,26.99,84,64,0.76,SL,1715060930
344,butembo,0.15,29.2833,21.03,66,30,1.46,CD,1715060930
345,ghanzi,-21.5667,21.7833,20.49,29,38,3.2,BW,1715060931
346,tual,-5.6667,132.75,27.98,76,100,5.25,ID,1715060932
347,port blair,11.6667,92.75,34.02,59,40,3.09,IN,1715060932
348,kaufbeuren,47.8833,10.6167,9.99,68,75,1.54,DE,1715060933
349,savannah,32.0835,-81.0998,21.34,90,75,4.63,US,1715060899
350,martuk,50.7475,56.5056,13.66,57,7,0.89,KZ,1715060934
351,tazovsky,67.4667,78.7,-7.05,89,88,3.15,RU,1715060935
352,khawr fakkan,25.3313,56.342,32.03,36,0,1.09,AE,1715060936
353,aioun,16.6614,-9.6149,28.1,9,1,4.62,MR,1715060936
354,pandan,14.0453,124.1694,30.41,64,11,5.42,PH,1715060937
355,mount isa,-20.7333,139.5,28.87,30,25,3.09,AU,1715060938
356,uglegorsk,49.0833,142.0333,3.11,91,91,3.89,RU,1715060938
357,nyagan,62.1406,65.3936,2.08,100,100,3.03,RU,1715060940
358,ali-berdukovskiy,43.9895,41.7421,10.45,70,100,2.04,RU,1715060940
359,mariental,-24.6333,17.9667,18.62,27,0,3.98,NA,1715060941
360,novomichurinsk,54.0384,39.7479,5.93,98,100,3.6,RU,1715060942
361,panacan,9.2463,118.4082,30.93,66,37,3.47,PH,1715060942
362,bad kreuznach,49.8333,7.8667,11.76,87,84,1.49,DE,1715060944
363,salavan,15.7167,106.4167,36.42,38,100,2.29,LA,1715060945
364,pimenta bueno,-11.6725,-61.1936,23.3,92,88,0.69,BR,1715060945
365,hirara,24.8,125.2833,28.15,74,40,6.69,JP,1715060946
366,hammerfest,70.6634,23.6821,-1.75,74,40,2.57,NO,1715060947
367,puerto deseado,-47.7503,-65.8938,2.66,59,85,4.22,AR,1715060947
368,el calafate,-50.3408,-72.2768,-4.66,71,10,1.5,AR,1715060948
369,tieli,46.95,128.05,21.33,19,5,3.01,CN,1715060949
370,churapcha,62.0025,132.4325,14.16,45,100,7.4,RU,1715060949
371,sotkamo,64.1333,28.4167,1.01,74,100,4.63,FI,1715060950
372,vila franca do campo,37.7167,-25.4333,18.27,99,100,9.13,PT,1715060951
373,deqen,29.9618,90.7188,9.2,45,100,3.07,CN,1715060951
374,opuwo,-18.0607,13.84,18.05,37,0,2.15,NA,1715060952
375,tharad,24.3961,71.6267,38.55,24,14,5.2,IN,1715060953
376,tionk essil,12.7856,-16.5217,23.98,82,1,2.42,SN,1715060953
377,nadym,65.5333,72.5167,-2.14,82,86,6.31,RU,1715060954
378,figuig (centre),32.1089,-1.2286,16.69,35,0,3.34,MA,1715060955
379,winnemucca,40.973,-117.7357,5.89,65,75,5.3,US,1715060955
